"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","Z jakich form nauki korzystasz?","Jak oceniasz poziom nauki informatyki w szkole?","Czy uważasz, że twój nauczyciel/ka z informatyki miał/a wystarczające kwalifikacje do nauki tego przedmiotu?","Które zagadnienia były omawiane na Twoich lekcjach informatyki? ","Czy uważasz, że darmowa platforma e-learningowa pomagająca w nauce do matury z informatyki jest potrzebna?","Czy przystępowałeś już do egzaminu maturalnego?","Czy roważałeś/aś kiedykolwiek związanie swojej kariery zawodowej z branżą IT?","Czy rozważałeś/aś podejście do matury w przyszłości?","Czy przystępowałeś do matury z informatyki?","Jeśli nie przystępowałeś do matury z informatyki, to dlaczego?","Do klasy o jakim profilu chodzisz?","Czy rozważasz swoją przyszłą karierę w IT?","Jakie przedmioty rozszerzone planujesz wybrać?","Czy uważasz, że zajęcia w szkole wystarczą do dobrego przygotowania do matury z informatyki?","Czy miałeś/aś możliwość wybrania rozszerzenia z informatyki? Czy w Twojej szkole istnieje klasa o profilu informatycznym?","Czy korzystasz z korepetycji z informatyki?","Jak często korzystałeś/aś lub korzystasz z podręcznika do informatyki?","Przygotowując się do tej matury jak często korzystałeś/aś lub korzystasz z materiałów dostępnych w internecie?","Jak oceniasz dostępność i jakość materiałów do nauki do matury z informatyki?","Czy materiały z których korzystasz są dostępne bezpłatnie?"
"2022/12/30 7:05:13 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe;Bootcamp'y","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Robienie kabli (skrętki)","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","4","3","W większości tak"
"2022/12/30 7:05:19 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki","2","Nie wiem","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Ponieważ była niepotrzebna na wybrany kierunek studiów","","","","","","","","","",""
"2022/12/30 7:06:48 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT","1","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Bazy danych (Access);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","5","3","Tak"
"2022/12/30 7:10:43 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Angielski ","Tak","Tak","Nie","1","4","3","Różnie"
"2022/12/30 7:21:49 PM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka","Nie","Tak","Tak","1","5","3","W większości tak"
"2022/12/30 7:24:47 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Korepetycje;Strony i platformy e-learningowe","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Tak","3","5","2","Różnie"
"2022/12/30 7:25:45 PM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Tutoriale na YT","3","Tak","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Może","Informatyka;Matematyka;angielski","Tak","Tak","Nie","2","4","2","W większości tak"
"2022/12/30 7:30:20 PM CET","Mężczyzna","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Korepetycje","2","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Angielski","Nie","Tak","Nie","1","4","3","Tak"
"2022/12/30 7:32:14 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Nie korzystam","","Nie","Algorytmika","Nie, taka forma nauki nie ma sensu","","","","Nie","Olimpiada Informatyczna ","","","","","","","","","",""
"2022/12/30 7:33:32 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne)","1","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie wiązałam z tym przyszłości ","","","","","","","","","",""
"2022/12/30 7:44:18 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Nie","Matematyka;Fizyka","Nie dotyczy","Tak","Nie","1","","2","Różnie"
"2022/12/30 7:49:05 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","4","2","W większości tak"
"2022/12/30 7:56:35 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Bootcamp'y","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Prezentacje w power point. ","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Poziom informatyki w moim liceum był poniżej jakichkolwiek podstawowych oczekiwań - nie pozwalał nawet w minimalnym stopniu zapoznać się z zagadnieniami stricte informatycznymi. Więcej praktycznych rzeczy było w gimnazjum (jak chociażby podstawy HTML czy c++). W moim LO pół semestru to było robienie prezentacji w power point (profil mat-fiz, jedna lekcja informatyki tygodniowo - i tak dużo w perspektywie innych klas które wcale nie miały).","","","","","","","","","",""
"2022/12/30 8:00:14 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Kursy online (bezpłatne);Strony i platformy e-learningowe;Bootcamp'y","3","Nie","ja informatyke miałam 15 lat temu ;) więc to nie jest miarodajne","Tak, to może być bardzo przydatne narzędzie","","","","Nie","za moich czasów takiej nie było ;P","","","","","","","","","",""
"2022/12/30 8:07:39 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Nie było mi to potrzebne do dostania się na studia ","","","","","","","","","",""
"2022/12/30 8:10:34 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","4","Tak","Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie jest to w moim kręgu zainteresowań ","","","","","","","","","",""
"2022/12/30 8:18:19 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Nie","Matematyka;Fizyka","Nie dotyczy","Tak","Nie","1","3","3","Tak"
"2022/12/30 8:19:40 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe;Bootcamp'y","2","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","","","","","","","","","","",""
"2022/12/30 8:28:01 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Brak wiedzy","","","","","","","","","",""
"2022/12/30 8:28:58 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","5","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Tak","","","Tak","","","","","","","Nie","1","1","",""
"2022/12/30 8:31:42 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe;Bootcamp'y","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Poziom nauki w technikum był bardzo niski, większość wtedy osób z naszej klasy nie osiągneło więcej niż 15%","","","","","","","","","",""
"2022/12/30 8:34:52 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Korepetycje","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Nie","Polski, Biologia","Nie","Tak","Nie","1","1","2","W większości tak"
"2022/12/30 8:35:10 PM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","1","Nie","Obsługa edytorów tekstowych (Word);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Nie, taka forma nauki nie ma sensu","Tak","","","Tak","","","","","","","Nie","1","5","3","Różnie"
"2022/12/30 8:56:47 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Tutoriale na YT;Strony i platformy e-learningowe","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","Mat-inf-biol","Tak","Informatyka;Matematyka","Nie","Tak","Nie","3","5","3","W większości tak"
"2022/12/30 8:57:30 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT","3","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Może","Informatyka;Matematyka","Nie","Tak","Nie","2","3","3","W większości tak"
"2022/12/30 8:59:20 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Kursy stacjonarne","4","Tak","Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Na większość kierunków informatycznych się nie liczyła","","","","","","","","","",""
"2022/12/30 9:00:50 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie rozszerzałam tego przedmiotu.","","","","","","","","","",""
"2022/12/30 9:02:40 PM CET","Mężczyzna","18-26 lat","Średnie (technikum)","Tutoriale na YT;Kursy online (płatne);Znajomi","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp)","Tak, ale sam bym z niej nie korzystał/a","Tak","","","Tak","Żeby się sprawdzić i przyda mi się na studia","","","","","","Nie","1","4","4","W większości tak"
"2022/12/30 9:08:11 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","5","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Olympiada","","","","","","","","","",""
"2022/12/30 9:17:09 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie interesowała mnie wtedy","","","","","","","","","",""
"2022/12/30 9:18:37 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (bezpłatne)","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","1","3","Tak"
"2022/12/30 9:24:17 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","2","3","3","Tak"
"2022/12/30 9:38:06 PM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Angielski ","Nie","Tak","Nie","3","5","3","Różnie"
"2022/12/30 9:44:10 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki","2","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","1. Nie była mi potrzebna na studia które wybierałam
2. Nie czułam że mój poziom wiedzy z informatyki byłby wystarczający ","","","","","","","","","",""
"2022/12/30 10:03:09 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","3","Tak","Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Może","Matematyka;Fizyka","Tak","Tak","Nie","1","3","4","Tak"
"2022/12/30 10:03:49 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Korepetycje","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie był to mój dział zainteresowań ","","","","","","","","","",""
"2022/12/30 10:14:32 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","3","5","3","Tak"
"2022/12/30 10:20:39 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Korepetycje;Kursy online (bezpłatne)","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","","","","","","","","","","",""
"2022/12/30 10:23:30 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Matematyka;Fizyka","Nie","Tak","Nie","1","4","","W większości tak"
"2022/12/30 10:39:55 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Kursy online (płatne);Kursy stacjonarne","3","Nie wiem","Podstawy programowania (Logomocja, Scratch)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie była w kręgu moich zainteresować pod względem dalszej edukacji ","","","","","","","","","",""
"2022/12/30 10:40:53 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Nawet nie wiedziałam, że jest taka możliwość.","","","","","","","","","",""
"2022/12/30 10:43:25 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","3","3","Tak"
"2022/12/31 12:02:50 AM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Kursy stacjonarne;Strony i platformy e-learningowe","1","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","","","","","","","","","","",""
"2022/12/31 12:23:58 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Mimo profilu mat-fiz z informatyką, nie czułam się wystarczająco przygotowana by podjąć sie zdawania matury","","","","","","","","","",""
"2022/12/31 1:07:33 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Bo nie rozszerzałam jej w liceum, a samej trudno by mi było się przygotować","","","","","","","","","",""
"2022/12/31 1:07:44 AM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Tutoriale na YT","2","Tak","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","Wymagania nie były adekwatne do tego, co się liczy w przyszłości informatyka","","","","","","","","","",""
"2022/12/31 1:58:22 AM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Kursy stacjonarne;Bootcamp'y","2","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Nie, jest wystarczająco dużo takich platform","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka","Tak","Tak","Nie","1","1","1","Tak"
"2022/12/31 8:28:41 AM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie czułam się pewnie żeby ta mature zdać. Z innych przedmiotów.ielismy dobre przygotowanie w szkole z informatyki nie koniecznie","","","","","","","","","",""
"2022/12/31 8:49:59 AM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Tutoriale na YT","3","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Schematy blokowe","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","biol-chem / mat-biol / mat-chem","Nie","Biologia Chemia","Nie","Tak","Nie","2","5","3","Tak"
"2022/12/31 8:57:53 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Bootcamp'y","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Moje przygotowanie było nieodpowiednie. ","","","","","","","","","",""
"2022/12/31 9:40:03 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Zupełnie nie jest to obszar moich zainteresowań. Nie było mi to potrzebne, żeby dostać się na studia.","","","","","","","","","",""
